date,product,customer,units
2020-12-01,Product-02,Customer-05,69279
2021-01-01,Product-02,Customer-05,85756
2021-02-01,Product-02,Customer-05,87095
2021-03-01,Product-02,Customer-05,93341
2021-04-01,Product-02,Customer-05,74518
2021-05-01,Product-02,Customer-05,79793
2021-06-01,Product-02,Customer-05,93129
2021-07-01,Product-02,Customer-05,88200
2021-08-01,Product-02,Customer-05,84918
2021-09-01,Product-02,Customer-05,77068
2021-10-01,Product-02,Customer-05,81830
2021-11-01,Product-02,Customer-05,75052
2021-12-01,Product-02,Customer-05,93059
2022-01-01,Product-02,Customer-05,89082
2022-02-01,Product-02,Customer-05,80308
2022-03-01,Product-02,Customer-05,87317
2022-04-01,Product-02,Customer-05,93130
2022-05-01,Product-02,Customer-05,92340
2022-06-01,Product-02,Customer-05,84402
2022-07-01,Product-02,Customer-05,92535
2022-08-01,Product-02,Customer-05,86080
2022-09-01,Product-02,Customer-05,106257
2022-10-01,Product-02,Customer-05,92376
2022-11-01,Product-02,Customer-05,90802
2022-12-01,Product-02,Customer-05,105689
2023-01-01,Product-02,Customer-05,99492
2023-02-01,Product-02,Customer-05,102310
2023-03-01,Product-02,Customer-05,98297
2023-04-01,Product-02,Customer-05,92956
2023-05-01,Product-02,Customer-05,94236
2023-06-01,Product-02,Customer-05,97416
2023-07-01,Product-02,Customer-05,110806
2023-08-01,Product-02,Customer-05,105738
2023-09-01,Product-02,Customer-05,103810
2023-10-01,Product-02,Customer-05,112742
2023-11-01,Product-02,Customer-05,107564
2023-12-01,Product-02,Customer-05,99216
2024-01-01,Product-02,Customer-05,98489
2024-02-01,Product-02,Customer-05,110006
2024-03-01,Product-02,Customer-05,103447
2024-04-01,Product-02,Customer-05,92885
2024-05-01,Product-02,Customer-05,97225
2024-06-01,Product-02,Customer-05,121323
2024-07-01,Product-02,Customer-05,101803
2024-08-01,Product-02,Customer-05,110473
2024-09-01,Product-02,Customer-05,109809
2024-10-01,Product-02,Customer-05,123007
2024-11-01,Product-02,Customer-05,107351
2024-12-01,Product-02,Customer-05,111819
2025-01-01,Product-02,Customer-05,111729
2025-02-01,Product-02,Customer-05,102012
2025-03-01,Product-02,Customer-05,127374
2025-04-01,Product-02,Customer-05,98546
2025-05-01,Product-02,Customer-05,128099
2025-06-01,Product-02,Customer-05,130195
2025-07-01,Product-02,Customer-05,119892
2025-08-01,Product-02,Customer-05,109846
2025-09-01,Product-02,Customer-05,130575
2025-10-01,Product-02,Customer-05,108046
2020-11-01,Product-02,Customer-04,58574
2020-12-01,Product-02,Customer-04,65755
2021-01-01,Product-02,Customer-04,64970
2021-02-01,Product-02,Customer-04,52821
2021-03-01,Product-02,Customer-04,57194
2021-04-01,Product-02,Customer-04,62703
2021-05-01,Product-02,Customer-04,59173
2021-06-01,Product-02,Customer-04,62828
2021-07-01,Product-02,Customer-04,75114
2021-08-01,Product-02,Customer-04,59218
2021-09-01,Product-02,Customer-04,65392
2021-10-01,Product-02,Customer-04,65655
2021-11-01,Product-02,Customer-04,58826
2021-12-01,Product-02,Customer-04,55639
2022-01-01,Product-02,Customer-04,70141
2022-02-01,Product-02,Customer-04,55481
2022-03-01,Product-02,Customer-04,56073
2022-04-01,Product-02,Customer-04,72464
2022-05-01,Product-02,Customer-04,68991
2022-06-01,Product-02,Customer-04,75246
2022-07-01,Product-02,Customer-04,70489
2022-08-01,Product-02,Customer-04,76875
2022-09-01,Product-02,Customer-04,71506
2022-10-01,Product-02,Customer-04,62761
2022-11-01,Product-02,Customer-04,73616
2022-12-01,Product-02,Customer-04,70924
2023-01-01,Product-02,Customer-04,65402
2023-02-01,Product-02,Customer-04,58715
2023-03-01,Product-02,Customer-04,65435
2023-04-01,Product-02,Customer-04,82290
2023-05-01,Product-02,Customer-04,75785
2023-06-01,Product-02,Customer-04,72621
2023-07-01,Product-02,Customer-04,70946
2023-08-01,Product-02,Customer-04,85235
2023-09-01,Product-02,Customer-04,66021
2023-10-01,Product-02,Customer-04,83394
2023-11-01,Product-02,Customer-04,72354
2023-12-01,Product-02,Customer-04,67788
2024-01-01,Product-02,Customer-04,69467
2024-02-01,Product-02,Customer-04,82560
2024-03-01,Product-02,Customer-04,73422
2024-04-01,Product-02,Customer-04,88719
2024-05-01,Product-02,Customer-04,80796
2024-06-01,Product-02,Customer-04,85312
2024-07-01,Product-02,Customer-04,78119
2024-08-01,Product-02,Customer-04,83353
2024-09-01,Product-02,Customer-04,70256
2024-10-01,Product-02,Customer-04,81227
2024-11-01,Product-02,Customer-04,88433
2024-12-01,Product-02,Customer-04,71792
2025-01-01,Product-02,Customer-04,89862
2025-02-01,Product-02,Customer-04,88922
2025-03-01,Product-02,Customer-04,93401
2025-04-01,Product-02,Customer-04,90824
2025-05-01,Product-02,Customer-04,92409
2025-06-01,Product-02,Customer-04,93439
2025-07-01,Product-02,Customer-04,89305
2025-08-01,Product-02,Customer-04,104839
2025-09-01,Product-02,Customer-04,91318
2025-10-01,Product-02,Customer-04,87027
2020-11-01,Product-06,Customer-03,164988
2020-12-01,Product-06,Customer-03,171118
2021-01-01,Product-06,Customer-03,141114
2021-02-01,Product-06,Customer-03,125916
2021-03-01,Product-06,Customer-03,168801
2021-04-01,Product-06,Customer-03,142687
2021-05-01,Product-06,Customer-03,168169
2021-06-01,Product-06,Customer-03,210447
2021-07-01,Product-06,Customer-03,214909
2021-08-01,Product-06,Customer-03,198402
2021-09-01,Product-06,Customer-03,212535
2021-10-01,Product-06,Customer-03,159208
2021-11-01,Product-06,Customer-03,166544
2021-12-01,Product-06,Customer-03,197791
2022-01-01,Product-06,Customer-03,160079
2022-02-01,Product-06,Customer-03,163684
2022-03-01,Product-06,Customer-03,171188
2022-04-01,Product-06,Customer-03,196457
2022-05-01,Product-06,Customer-03,186589
2022-06-01,Product-06,Customer-03,245310
2022-07-01,Product-06,Customer-03,225573
2022-08-01,Product-06,Customer-03,252367
2022-09-01,Product-06,Customer-03,219379
2022-10-01,Product-06,Customer-03,194816
2022-11-01,Product-06,Customer-03,185620
2022-12-01,Product-06,Customer-03,181320
2023-01-01,Product-06,Customer-03,195697
2023-02-01,Product-06,Customer-03,173692
2023-03-01,Product-06,Customer-03,221911
2023-04-01,Product-06,Customer-03,209460
2023-05-01,Product-06,Customer-03,211927
2023-06-01,Product-06,Customer-03,232339
2023-07-01,Product-06,Customer-03,290528
2023-08-01,Product-06,Customer-03,257166
2023-09-01,Product-06,Customer-03,214820
2023-10-01,Product-06,Customer-03,263282
2023-11-01,Product-06,Customer-03,244342
2023-12-01,Product-06,Customer-03,220317
2024-01-01,Product-06,Customer-03,192714
2024-02-01,Product-06,Customer-03,207431
2024-03-01,Product-06,Customer-03,255327
2024-04-01,Product-06,Customer-03,278697
2024-05-01,Product-06,Customer-03,246715
2024-06-01,Product-06,Customer-03,313570
2024-07-01,Product-06,Customer-03,303623
2024-08-01,Product-06,Customer-03,326310
2024-09-01,Product-06,Customer-03,243807
2024-10-01,Product-06,Customer-03,288128
2024-11-01,Product-06,Customer-03,286577
2024-12-01,Product-06,Customer-03,263753
2025-01-01,Product-06,Customer-03,247638
2025-02-01,Product-06,Customer-03,289590
2025-03-01,Product-06,Customer-03,268503
2025-04-01,Product-06,Customer-03,327085
2025-05-01,Product-06,Customer-03,282242
2025-06-01,Product-06,Customer-03,382930
2025-07-01,Product-06,Customer-03,349756
2025-08-01,Product-06,Customer-03,304076
2025-09-01,Product-06,Customer-03,302148
2025-10-01,Product-06,Customer-03,263418
2020-11-01,Product-06,Customer-05,63884
2020-12-01,Product-06,Customer-05,67590
2021-01-01,Product-06,Customer-05,58324
2021-02-01,Product-06,Customer-05,72359
2021-03-01,Product-06,Customer-05,84482
2021-04-01,Product-06,Customer-05,82870
2021-05-01,Product-06,Customer-05,85203
2021-06-01,Product-06,Customer-05,97126
2021-07-01,Product-06,Customer-05,94694
2021-08-01,Product-06,Customer-05,108197
2021-09-01,Product-06,Customer-05,75253
2021-10-01,Product-06,Customer-05,85415
2021-11-01,Product-06,Customer-05,87779
2021-12-01,Product-06,Customer-05,75805
2022-01-01,Product-06,Customer-05,87550
2022-02-01,Product-06,Customer-05,86153
2022-03-01,Product-06,Customer-05,83404
2022-04-01,Product-06,Customer-05,87157
2022-05-01,Product-06,Customer-05,99209
2022-06-01,Product-06,Customer-05,103905
2022-07-01,Product-06,Customer-05,120923
2022-08-01,Product-06,Customer-05,119912
2022-09-01,Product-06,Customer-05,102995
2022-10-01,Product-06,Customer-05,102856
2022-11-01,Product-06,Customer-05,79207
2022-12-01,Product-06,Customer-05,81594
2023-01-01,Product-06,Customer-05,97006
2023-02-01,Product-06,Customer-05,84194
2023-03-01,Product-06,Customer-05,108243
2023-04-01,Product-06,Customer-05,97468
2023-05-01,Product-06,Customer-05,109472
2023-06-01,Product-06,Customer-05,123590
2023-07-01,Product-06,Customer-05,116479
2023-08-01,Product-06,Customer-05,141250
2023-09-01,Product-06,Customer-05,127437
2023-10-01,Product-06,Customer-05,115252
2023-11-01,Product-06,Customer-05,102634
2023-12-01,Product-06,Customer-05,103887
2024-01-01,Product-06,Customer-05,116605
2024-02-01,Product-06,Customer-05,94353
2024-03-01,Product-06,Customer-05,124655
2024-04-01,Product-06,Customer-05,123165
2024-05-01,Product-06,Customer-05,142277
2024-06-01,Product-06,Customer-05,122771
2024-07-01,Product-06,Customer-05,152454
2024-08-01,Product-06,Customer-05,128276
2024-09-01,Product-06,Customer-05,152163
2024-10-01,Product-06,Customer-05,119710
2024-11-01,Product-06,Customer-05,106580
2024-12-01,Product-06,Customer-05,113053
2025-01-01,Product-06,Customer-05,118185
2025-02-01,Product-06,Customer-05,123411
2025-03-01,Product-06,Customer-05,133421
2025-04-01,Product-06,Customer-05,122236
2025-05-01,Product-06,Customer-05,135210
2025-06-01,Product-06,Customer-05,159330
2025-07-01,Product-06,Customer-05,165768
2025-08-01,Product-06,Customer-05,156486
2025-09-01,Product-06,Customer-05,153896
2025-10-01,Product-06,Customer-05,145747
2020-11-01,Product-06,Customer-04,58493
2020-12-01,Product-06,Customer-04,69633
2021-01-01,Product-06,Customer-04,58070
2021-02-01,Product-06,Customer-04,62365
2021-03-01,Product-06,Customer-04,68122
2021-04-01,Product-06,Customer-04,62060
2021-05-01,Product-06,Customer-04,84155
2021-06-01,Product-06,Customer-04,81825
2021-07-01,Product-06,Customer-04,87390
2021-08-01,Product-06,Customer-04,79729
2021-09-01,Product-06,Customer-04,85036
2021-10-01,Product-06,Customer-04,70363
2021-11-01,Product-06,Customer-04,69468
2021-12-01,Product-06,Customer-04,69934
2022-01-01,Product-06,Customer-04,64787
2022-02-01,Product-06,Customer-04,71683
2022-03-01,Product-06,Customer-04,79694
2022-04-01,Product-06,Customer-04,84087
2022-05-01,Product-06,Customer-04,79848
2022-06-01,Product-06,Customer-04,87925
2022-07-01,Product-06,Customer-04,110194
2022-08-01,Product-06,Customer-04,105269
2022-09-01,Product-06,Customer-04,83038
2022-10-01,Product-06,Customer-04,82535
2022-11-01,Product-06,Customer-04,93140
2022-12-01,Product-06,Customer-04,85428
2023-01-01,Product-06,Customer-04,72608
2023-02-01,Product-06,Customer-04,78750
2023-03-01,Product-06,Customer-04,93747
2023-04-01,Product-06,Customer-04,101921
2023-05-01,Product-06,Customer-04,96694
2023-06-01,Product-06,Customer-04,98839
2023-07-01,Product-06,Customer-04,113470
2023-08-01,Product-06,Customer-04,129734
2023-09-01,Product-06,Customer-04,116943
2023-10-01,Product-06,Customer-04,92346
2023-11-01,Product-06,Customer-04,95954
2023-12-01,Product-06,Customer-04,107520
2024-01-01,Product-06,Customer-04,105516
2024-02-01,Product-06,Customer-04,98156
2024-03-01,Product-06,Customer-04,88811
2024-04-01,Product-06,Customer-04,123376
2024-05-01,Product-06,Customer-04,106602
2024-06-01,Product-06,Customer-04,136800
2024-07-01,Product-06,Customer-04,133190
2024-08-01,Product-06,Customer-04,139671
2024-09-01,Product-06,Customer-04,116755
2024-10-01,Product-06,Customer-04,103609
2024-11-01,Product-06,Customer-04,108677
2024-12-01,Product-06,Customer-04,123193
2025-01-01,Product-06,Customer-04,116208
2025-02-01,Product-06,Customer-04,97130
2025-03-01,Product-06,Customer-04,105826
2025-04-01,Product-06,Customer-04,126879
2025-05-01,Product-06,Customer-04,123224
2025-06-01,Product-06,Customer-04,147660
2025-07-01,Product-06,Customer-04,137419
2025-08-01,Product-06,Customer-04,140197
2025-09-01,Product-06,Customer-04,132183
2025-10-01,Product-06,Customer-04,146047
2020-11-01,Product-06,Customer-01,57309
2020-12-01,Product-06,Customer-01,56896
2021-01-01,Product-06,Customer-01,47320
2021-02-01,Product-06,Customer-01,56786
2021-03-01,Product-06,Customer-01,67799
2021-04-01,Product-06,Customer-01,66999
2021-05-01,Product-06,Customer-01,73104
2021-06-01,Product-06,Customer-01,77311
2021-07-01,Product-06,Customer-01,87513
2021-08-01,Product-06,Customer-01,90139
2021-09-01,Product-06,Customer-01,65458
2021-10-01,Product-06,Customer-01,60646
2021-11-01,Product-06,Customer-01,62520
2021-12-01,Product-06,Customer-01,63685
2022-01-01,Product-06,Customer-01,55440
2022-02-01,Product-06,Customer-01,72483
2022-03-01,Product-06,Customer-01,79452
2022-04-01,Product-06,Customer-01,85844
2022-05-01,Product-06,Customer-01,69675
2022-06-01,Product-06,Customer-01,96799
2022-07-01,Product-06,Customer-01,99009
2022-08-01,Product-06,Customer-01,79502
2022-09-01,Product-06,Customer-01,77407
2022-10-01,Product-06,Customer-01,87762
2022-11-01,Product-06,Customer-01,75704
2022-12-01,Product-06,Customer-01,79236
2023-01-01,Product-06,Customer-01,71508
2023-02-01,Product-06,Customer-01,78270
2023-03-01,Product-06,Customer-01,82984
2023-04-01,Product-06,Customer-01,89190
2023-05-01,Product-06,Customer-01,79875
2023-06-01,Product-06,Customer-01,113491
2023-07-01,Product-06,Customer-01,92032
2023-08-01,Product-06,Customer-01,101510
2023-09-01,Product-06,Customer-01,95751
2023-10-01,Product-06,Customer-01,91236
2023-11-01,Product-06,Customer-01,87964
2023-12-01,Product-06,Customer-01,94940
2024-01-01,Product-06,Customer-01,93680
2024-02-01,Product-06,Customer-01,77596
2024-03-01,Product-06,Customer-01,97988
2024-04-01,Product-06,Customer-01,96968
2024-05-01,Product-06,Customer-01,91105
2024-06-01,Product-06,Customer-01,99021
2024-07-01,Product-06,Customer-01,127215
2024-08-01,Product-06,Customer-01,102591
2024-09-01,Product-06,Customer-01,106944
2024-10-01,Product-06,Customer-01,93377
2024-11-01,Product-06,Customer-01,109787
2024-12-01,Product-06,Customer-01,89552
2025-01-01,Product-06,Customer-01,97536
2025-02-01,Product-06,Customer-01,93264
2025-03-01,Product-06,Customer-01,111478
2025-04-01,Product-06,Customer-01,130249
2025-05-01,Product-06,Customer-01,126806
2025-06-01,Product-06,Customer-01,116264
2025-07-01,Product-06,Customer-01,126776
2025-08-01,Product-06,Customer-01,158523
2025-09-01,Product-06,Customer-01,120654
2025-10-01,Product-06,Customer-01,136149
2020-11-01,Product-06,Customer-02,24375
2020-12-01,Product-06,Customer-02,29753
2021-01-01,Product-06,Customer-02,22351
2021-02-01,Product-06,Customer-02,24714
2021-03-01,Product-06,Customer-02,28510
2021-04-01,Product-06,Customer-02,26098
2021-05-01,Product-06,Customer-02,35909
2021-06-01,Product-06,Customer-02,35530
2021-07-01,Product-06,Customer-02,34169
2021-08-01,Product-06,Customer-02,37532
2021-09-01,Product-06,Customer-02,31205
2021-10-01,Product-06,Customer-02,35465
2021-11-01,Product-06,Customer-02,32559
2021-12-01,Product-06,Customer-02,26650
2022-01-01,Product-06,Customer-02,31769
2022-02-01,Product-06,Customer-02,32942
2022-03-01,Product-06,Customer-02,33499
2022-04-01,Product-06,Customer-02,32211
2022-05-01,Product-06,Customer-02,39673
2022-06-01,Product-06,Customer-02,43480
2022-07-01,Product-06,Customer-02,41681
2022-08-01,Product-06,Customer-02,44601
2022-09-01,Product-06,Customer-02,37848
2022-10-01,Product-06,Customer-02,39970
2022-11-01,Product-06,Customer-02,31827
2022-12-01,Product-06,Customer-02,38962
2023-01-01,Product-06,Customer-02,32087
2023-02-01,Product-06,Customer-02,33009
2023-03-01,Product-06,Customer-02,41726
2023-04-01,Product-06,Customer-02,41030
2023-05-01,Product-06,Customer-02,37103
2023-06-01,Product-06,Customer-02,46264
2023-07-01,Product-06,Customer-02,49029
2023-08-01,Product-06,Customer-02,40544
2023-09-01,Product-06,Customer-02,45367
2023-10-01,Product-06,Customer-02,37976
2023-11-01,Product-06,Customer-02,35617
2023-12-01,Product-06,Customer-02,37598
2024-01-01,Product-06,Customer-02,33873
2024-02-01,Product-06,Customer-02,40445
2024-03-01,Product-06,Customer-02,39257
2024-04-01,Product-06,Customer-02,46227
2024-05-01,Product-06,Customer-02,45858
2024-06-01,Product-06,Customer-02,44837
2024-07-01,Product-06,Customer-02,57613
2024-08-01,Product-06,Customer-02,61201
2024-09-01,Product-06,Customer-02,52166
2024-10-01,Product-06,Customer-02,40463
2024-11-01,Product-06,Customer-02,49487
2024-12-01,Product-06,Customer-02,48468
2025-01-01,Product-06,Customer-02,49573
2025-02-01,Product-06,Customer-02,51463
2025-03-01,Product-06,Customer-02,50983
2025-04-01,Product-06,Customer-02,56657
2025-05-01,Product-06,Customer-02,57221
2025-06-01,Product-06,Customer-02,66721
2025-07-01,Product-06,Customer-02,69243
2025-08-01,Product-06,Customer-02,72126
2025-09-01,Product-06,Customer-02,66068
2025-10-01,Product-06,Customer-02,48044
2020-11-01,Product-09,Customer-03,164327
2020-12-01,Product-09,Customer-03,187199
2021-01-01,Product-09,Customer-03,150768
2021-02-01,Product-09,Customer-03,165452
2021-03-01,Product-09,Customer-03,207432
2021-04-01,Product-09,Customer-03,220646
2021-05-01,Product-09,Customer-03,247183
2021-06-01,Product-09,Customer-03,269596
2021-07-01,Product-09,Customer-03,348638
2021-08-01,Product-09,Customer-03,281278
2021-09-01,Product-09,Customer-03,284871
2021-10-01,Product-09,Customer-03,243324
2021-11-01,Product-09,Customer-03,196359
2021-12-01,Product-09,Customer-03,186220
2022-01-01,Product-09,Customer-03,195792
2022-02-01,Product-09,Customer-03,190887
2022-03-01,Product-09,Customer-03,239420
2022-04-01,Product-09,Customer-03,271496
2022-05-01,Product-09,Customer-03,293085
2022-06-01,Product-09,Customer-03,280182
2022-07-01,Product-09,Customer-03,317614
2022-08-01,Product-09,Customer-03,348771
2022-09-01,Product-09,Customer-03,278850
2022-10-01,Product-09,Customer-03,282376
2022-11-01,Product-09,Customer-03,237343
2022-12-01,Product-09,Customer-03,264546
2023-01-01,Product-09,Customer-03,223992
2023-02-01,Product-09,Customer-03,228562
2023-03-01,Product-09,Customer-03,210912
2023-04-01,Product-09,Customer-03,254421
2023-05-01,Product-09,Customer-03,316747
2023-06-01,Product-09,Customer-03,351685
2023-07-01,Product-09,Customer-03,346032
2023-08-01,Product-09,Customer-03,392405
2023-09-01,Product-09,Customer-03,338937
2023-10-01,Product-09,Customer-03,272247
2023-11-01,Product-09,Customer-03,266863
2023-12-01,Product-09,Customer-03,299465
2024-01-01,Product-09,Customer-03,249446
2024-02-01,Product-09,Customer-03,260337
2024-03-01,Product-09,Customer-03,307695
2024-04-01,Product-09,Customer-03,313383
2024-05-01,Product-09,Customer-03,353245
2024-06-01,Product-09,Customer-03,446915
2024-07-01,Product-09,Customer-03,438880
2024-08-01,Product-09,Customer-03,368648
2024-09-01,Product-09,Customer-03,395063
2024-10-01,Product-09,Customer-03,340965
2024-11-01,Product-09,Customer-03,248383
2024-12-01,Product-09,Customer-03,269771
2025-01-01,Product-09,Customer-03,224646
2025-02-01,Product-09,Customer-03,291124
2025-03-01,Product-09,Customer-03,267203
2025-04-01,Product-09,Customer-03,332515
2025-05-01,Product-09,Customer-03,335744
2025-06-01,Product-09,Customer-03,430425
2025-07-01,Product-09,Customer-03,459044
2025-08-01,Product-09,Customer-03,415722
2025-09-01,Product-09,Customer-03,438613
2025-10-01,Product-09,Customer-03,393927
2020-11-01,Product-09,Customer-05,85330
2020-12-01,Product-09,Customer-05,103136
2021-01-01,Product-09,Customer-05,70750
2021-02-01,Product-09,Customer-05,88370
2021-03-01,Product-09,Customer-05,85734
2021-04-01,Product-09,Customer-05,114837
2021-05-01,Product-09,Customer-05,109013
2021-06-01,Product-09,Customer-05,141193
2021-07-01,Product-09,Customer-05,159156
2021-08-01,Product-09,Customer-05,152612
2021-09-01,Product-09,Customer-05,126044
2021-10-01,Product-09,Customer-05,89799
2021-11-01,Product-09,Customer-05,88349
2021-12-01,Product-09,Customer-05,97898
2022-01-01,Product-09,Customer-05,95403
2022-02-01,Product-09,Customer-05,95587
2022-03-01,Product-09,Customer-05,116159
2022-04-01,Product-09,Customer-05,104125
2022-05-01,Product-09,Customer-05,142290
2022-06-01,Product-09,Customer-05,157230
2022-07-01,Product-09,Customer-05,156921
2022-08-01,Product-09,Customer-05,179907
2022-09-01,Product-09,Customer-05,140997
2022-10-01,Product-09,Customer-05,113335
2022-11-01,Product-09,Customer-05,91481
2022-12-01,Product-09,Customer-05,101944
2023-01-01,Product-09,Customer-05,84058
2023-02-01,Product-09,Customer-05,117395
2023-03-01,Product-09,Customer-05,131455
2023-04-01,Product-09,Customer-05,139942
2023-05-01,Product-09,Customer-05,150611
2023-06-01,Product-09,Customer-05,167152
2023-07-01,Product-09,Customer-05,182135
2023-08-01,Product-09,Customer-05,176971
2023-09-01,Product-09,Customer-05,148669
2023-10-01,Product-09,Customer-05,129339
2023-11-01,Product-09,Customer-05,115489
2023-12-01,Product-09,Customer-05,124638
2024-01-01,Product-09,Customer-05,107945
2024-02-01,Product-09,Customer-05,120199
2024-03-01,Product-09,Customer-05,115059
2024-04-01,Product-09,Customer-05,150073
2024-05-01,Product-09,Customer-05,177225
2024-06-01,Product-09,Customer-05,182735
2024-07-01,Product-09,Customer-05,194013
2024-08-01,Product-09,Customer-05,177634
2024-09-01,Product-09,Customer-05,154990
2024-10-01,Product-09,Customer-05,161954
2024-11-01,Product-09,Customer-05,126881
2024-12-01,Product-09,Customer-05,123020
2025-01-01,Product-09,Customer-05,109163
2025-02-01,Product-09,Customer-05,113257
2025-03-01,Product-09,Customer-05,151448
2025-04-01,Product-09,Customer-05,176173
2025-05-01,Product-09,Customer-05,203149
2025-06-01,Product-09,Customer-05,213620
2025-07-01,Product-09,Customer-05,216903
2025-08-01,Product-09,Customer-05,203920
2025-09-01,Product-09,Customer-05,183612
2025-10-01,Product-09,Customer-05,147490
2020-11-01,Product-09,Customer-04,67645
2020-12-01,Product-09,Customer-04,84622
2021-01-01,Product-09,Customer-04,69546
2021-02-01,Product-09,Customer-04,78529
2021-03-01,Product-09,Customer-04,87038
2021-04-01,Product-09,Customer-04,90521
2021-05-01,Product-09,Customer-04,113550
2021-06-01,Product-09,Customer-04,104336
2021-07-01,Product-09,Customer-04,116939
2021-08-01,Product-09,Customer-04,113252
2021-09-01,Product-09,Customer-04,104693
2021-10-01,Product-09,Customer-04,92042
2021-11-01,Product-09,Customer-04,84982
2021-12-01,Product-09,Customer-04,94561
2022-01-01,Product-09,Customer-04,75425
2022-02-01,Product-09,Customer-04,81683
2022-03-01,Product-09,Customer-04,89530
2022-04-01,Product-09,Customer-04,113531
2022-05-01,Product-09,Customer-04,106789
2022-06-01,Product-09,Customer-04,123809
2022-07-01,Product-09,Customer-04,150513
2022-08-01,Product-09,Customer-04,137656
2022-09-01,Product-09,Customer-04,113003
2022-10-01,Product-09,Customer-04,110289
2022-11-01,Product-09,Customer-04,109373
2022-12-01,Product-09,Customer-04,111263
2023-01-01,Product-09,Customer-04,89447
2023-02-01,Product-09,Customer-04,91271
2023-03-01,Product-09,Customer-04,112037
2023-04-01,Product-09,Customer-04,125607
2023-05-01,Product-09,Customer-04,124327
2023-06-01,Product-09,Customer-04,156797
2023-07-01,Product-09,Customer-04,174245
2023-08-01,Product-09,Customer-04,180033
2023-09-01,Product-09,Customer-04,134311
2023-10-01,Product-09,Customer-04,107944
2023-11-01,Product-09,Customer-04,115398
2023-12-01,Product-09,Customer-04,130805
2024-01-01,Product-09,Customer-04,93675
2024-02-01,Product-09,Customer-04,113431
2024-03-01,Product-09,Customer-04,110066
2024-04-01,Product-09,Customer-04,118028
2024-05-01,Product-09,Customer-04,125345
2024-06-01,Product-09,Customer-04,172714
2024-07-01,Product-09,Customer-04,181006
2024-08-01,Product-09,Customer-04,167439
2024-09-01,Product-09,Customer-04,132432
2024-10-01,Product-09,Customer-04,126505
2024-11-01,Product-09,Customer-04,138054
2024-12-01,Product-09,Customer-04,139401
2025-01-01,Product-09,Customer-04,98759
2025-02-01,Product-09,Customer-04,116872
2025-03-01,Product-09,Customer-04,147988
2025-04-01,Product-09,Customer-04,129142
2025-05-01,Product-09,Customer-04,146988
2025-06-01,Product-09,Customer-04,205565
2025-07-01,Product-09,Customer-04,226575
2025-08-01,Product-09,Customer-04,189478
2025-09-01,Product-09,Customer-04,192735
2025-10-01,Product-09,Customer-04,135035
2020-11-01,Product-09,Customer-01,77451
2020-12-01,Product-09,Customer-01,66252
2021-01-01,Product-09,Customer-01,63637
2021-02-01,Product-09,Customer-01,75416
2021-03-01,Product-09,Customer-01,67083
